claim_id,claim,verification_3vote,confidence,project_impact
cisi31_identity,CISI 3.1 (2010 Parpola/Pande/Koskikallio w Meadow & Kenoyer ASSF Humaniora 359 / ASI Memoir 96 504pp) is the shared source for H-1993 and M-1825,3/3 confirm (harappa/helsinki/cambridge/abebooks),high,reconfirms acquisition target identity
cisi31_no_free_image,No free full-volume image binding of CISI 3.1 was obtainable in this environment,3/3 confirm (403/gated/allowlist-block observed directly),high_for_here_medium_for_anywhere,evidence-tier ceiling unchanged
cisi33_strand,CISI vol 3.2/3.3 (3.3=2022) is the untraced-objects strand and the right next route for 3335.1,2/2 confirm (academia 94861598/94880292),medium_high,new acquisition lead for 3335.1
nair_specs,Nair 2026 arXiv:2604.17828 runs on 1916 dedup inscriptions / 584 signs / 11110 tokens ICIT-Yajnadevam and reports an intermediate result,2/2 confirm (arxiv + repo may-24 note),high,corpus cross-check + null-model comparator
tn_prize,Tamil Nadu Iravatham Mahadevan Prize US$1M announced Jan 2025 no submission portal,4/4 confirm,high,context only no tier change
yajnadevam_contested,Yajnadevam Sanskrit cryptographic claim is not peer-reviewed and is contested for overfitting and non-idiomatic output,3/3 confirm (not-peer-reviewed high; specific flaws medium-high),high_medium_high,supports existing quarantine of Lipi sanskrit/translation
mukhopadhyay_published,Mukhopadhyay 2023 Nature HSSC argues administrative/semasiographic function,2/2 confirm (publication high; reception medium),high_medium,functional-hypothesis comparator only
desset_contested,Linear Elamite Desset 2022 (ZA) is a top-journal decipherment that remains field-contested (Born et al),2/2 confirm,medium_high,validation lesson: venue is not validation
rao_sproat_unresolved,Conditional-entropy debate unresolved; entropy alone does not discriminate linguistic vs nonlinguistic,3/3 confirm,high,backbone for structure-only null-model-first stance
shu_ilishu_facts,Shu-ilishu seal Louvre AO 22310 ~2020 BCE names an interpreter of the Meluhhan language; openly imaged,3/3 confirm,high,best source-visible external-anchor starting point
shu_ilishu_not_bilingual,AO 22310 is a contact anchor not a bilingual; no Indus signs securely read on it; fringe Indus-hieroglyph readings are not accepted,3/3 confirm (mainstream); fringe flagged quarantine,high,prevents anchor overreach
